Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.161423	2.29485099999999	0.0348789	0.048057	1.377813
Coffea	0.289229	1.17009099999999	0.694963	0.175863	0.253053
Beta	0.206139	1.10373799999999	0.231398	0.10616	0.458778
Malania	0.179174	0.946421000000001	0.231112	0.109105	0.472087
Dendropemon	0.282311	1.663889	0.203254	0.187049	0.920269
Daenikera	0.186197	0.950176999999996	0.440242	0.090935	0.206557
Ombrophytum	0.227084	3.050844	0.137746	0.02094	0.152016
Lmirabile	0.336543	3.254277	0.374522	0.060258	0.160893
Lpyramidale	0.570849	3.337695	1.20569	0.294564	0.244311
Balanophora	0.245892	2.59723399999999	0.246453	0.138716	0.562851
Arabidopsis	0.228424	1.98897900000001	0.101878	0.158359	1.554398
Citrus	0.103717	0.716770000000011	0.119252	0.033652	0.282189
Prunus	0.153129	0.819842999999992	0.137504	0.062856	0.457124
Cucumis	0.194398	1.35803	0.104616	0.104125	0.995311
Glycine	0.201141	1.73664599999999	0.136632	0.079514	0.581954
Anadenanthera	0.211752	1.284307	0.695324	0.090125	0.129615
Populus	0.229065	1.227259	0.171456	0.148238	0.864585
Vitis	0.111285	0.910894999999996	0.0684386	0.041233	0.602488
Nelumbo	0.098501	0.851622000000006	0.115663	0.098501	0.851622
Zea	NA	NA	0.00319778	NA	NA
