Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.306487	0.848309	0.225335	0.114087	0.506301
Coffea	0.343549	0.975718	0.238514	0.151149	0.63371
Beta	0.263581	1.180719	0.201915	0.169368	0.838809
Malania	0.141755	0.402493	0.347185	0.054607	0.157285
Dendropemon	0.304641	0.899131	0.388025	0.173976	0.448363
Daenikera	0.355687	0.720766	0.833421	0.225022	0.269998
Ombrophytum	0.209587	1.746708	0.123714	0.049666	0.401455
Lmirabile	0.218056	1.70915	0.17499	0.042161	0.240936
Lpyramidale	0.190626	1.547545	0.185686	0.014731	0.079331
Balanophora	0.273793	1.513583	0.134226	0.170247	1.268358
Arabidopsis	0.324123	1.251932	0.218642	0.186192	0.851585
Citrus	0.295979	0.885465	0.325793	0.158048	0.485118
Prunus	0.2927	0.804962	0.233172	0.113693	0.487595
Cucumis	0.308123	0.953053	0.203114	0.129116	0.635686
Glycine	0.384214	0.625801	0.317336	0.11232	0.353945
Anadenanthera	0.346004	0.654901	0.193476	0.07411	0.383045
Populus	0.318002	0.550051	0.492539	0.18675	0.379158
Vitis	0.144688	0.609797	0.143251	0.077825	0.543278
Nelumbo	0.045801	0.475076	0.0964078	0.045801	0.475076
Zea	NA	NA	2.75718	NA	NA
