Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.133094	0.807453	0.150253	0.100249	0.6672
Coffea	0.102588	0.537935	0.175374	0.069743	0.397682
Beta	0.059453	0.855012	0.0372295	0.02661	0.714759
Malania	0.036155	0.927827	0.040883	0.021617	0.528762
Dendropemon	0.203188	0.941159	0.490618	0.125445	0.255688
Daenikera	0.23021	1.453084	0.198625	0.152467	0.767613
Ombrophytum	0.174223	0.915538	0.16862	0.053625	0.318021
Lmirabile	0.14421	1.031655	82.4813	2e-06	0
Lpyramidale	0.187638	1.031698	999	0.04343	4.3e-05
Balanophora	0.132348	3.591467	0.0393401	0.117788	2.994095
Arabidopsis	0.154726	1.18805	0.153917	0.1402	0.910882
Citrus	0.014612	1.134539	1e-04	8.6e-05	0.857371
Prunus	0.06047	0.383145	0.331985	0.035177	0.105961
Cucumis	0.048334	1.375789	0.0209729	0.023041	1.098605
Glycine	0.109048	1.126575	0.106685	0.060359	0.565772
Anadenanthera	0.083916	1.297513	0.0478169	0.035227	0.73671
Populus	0.049325	0.995996	0.0484102	0.034799	0.718828
Vitis	0.014534	0.37353	1e-04	1.9e-05	0.185007
Nelumbo	0.031904	0.5106	0.0624842	0.031904	0.5106
Zea	NA	NA	0.255885	NA	NA
