Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.068519	0.948662	0.0990361	0.047306	0.477669
Coffea	0.042595	0.972496	0.0426355	0.021382	0.501503
Beta	0.132165	1.676692	0.0879302	0.12308	1.399745
Malania	0.063142	0.66174	0.184886	0.041138	0.222506
Dendropemon	0.112829	0.887525	0.148378	0.064144	0.432297
Daenikera	0.210316	0.648058	0.838207	0.161631	0.19283
Ombrophytum	0.312827	1.490181	0.194934	0.075356	0.38657
Lmirabile	0.294956	1.415352	0.304146	0.025525	0.083923
Lpyramidale	0.284107	1.422632	0.160913	0.014676	0.091203
Balanophora	0.277723	2.812166	0.0681578	0.161727	2.372838
Arabidopsis	0.144902	1.430936	0.111902	0.10955	0.978982
Citrus	0.0669	0.734676	0.111587	0.031548	0.282722
Prunus	0.058753	0.907833	0.0953425	0.037308	0.391308
Cucumis	0.089903	1.162338	0.106002	0.068458	0.645813
Glycine	0.154366	1.084089	0.302519	0.094285	0.311666
Anadenanthera	0.084811	1.214626	0.0559242	0.02473	0.442203
Populus	0.06425	0.646125	0.185112	0.047761	0.258014
Vitis	0.050257	0.569055	0.127907	0.041175	0.32191
Nelumbo	0.034355	0.435341	0.0789145	0.034355	0.435341
Zea	NA	NA	0.139452	NA	NA
