Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.091189	1.871095	0.0661703	0.044023	0.665302
Coffea	0.124812	1.626374	0.184615	0.077646	0.420581
Beta	0.170091	2.024864	0.112413	0.136979	1.218534
Malania	0.066644	1.249719	0.134	0.040195	0.299962
Dendropemon	0.268153	1.449464	0.498898	0.221062	0.443099
Daenikera	0.14942	1.243254	0.431972	0.102329	0.236889
Ombrophytum	0.162267	2.218427	0.113406	0.046636	0.411228
Lmirabile	0.187254	2.21657	0.1346	0.023093	0.171571
Lpyramidale	0.192433	2.106022	0.463296	0.028272	0.061023
Balanophora	0.180267	2.81401	0.070226	0.130917	1.864225
Arabidopsis	0.36275	2.048242	0.277454	0.313416	1.129612
Citrus	0.169232	1.351141	0.277214	0.119898	0.432511
Prunus	0.116201	1.438854	0.182529	0.070507	0.386276
Cucumis	0.11531	1.609634	0.124971	0.069616	0.557056
Glycine	0.146781	1.485506	0.201947	0.063179	0.312846
Anadenanthera	0.165268	1.507774	0.243697	0.081666	0.335114
Populus	0.157934	1.386756	0.275808	0.127007	0.460491
Vitis	0.064889	1.083948	0.145223	0.04032	0.277644
Nelumbo	0.050749	0.079599	0.637558	0.050749	0.079599
Zea	NA	NA	1e-04	NA	NA
