Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.135097	1.158476	0.148031	0.097316	0.6574
Coffea	0.080757	1.130536	0.068275	0.042976	0.62946
Beta	0.074425	0.943408	0.0626954	0.059143	0.943341
Malania	0.051583	0.49509	0.140888	0.036724	0.260662
Dendropemon	0.097976	0.589324	0.201233	0.060295	0.299627
Daenikera	0.26079	0.550989	0.853871	0.223109	0.261292
Ombrophytum	0.119501	1.821467	0.190452	0.057668	0.302796
Lmirabile	0.124346	1.896868	0.204351	0.029179	0.142791
Lpyramidale	0.101019	1.84268	0.0660443	0.005852	0.088603
Balanophora	0.132949	3.459943	0.0384382	0.118075	3.071809
Arabidopsis	0.093689	1.907072	0.043646	0.082586	1.892188
Citrus	0.057623	0.494424	0.0970087	0.04652	0.47954
Prunus	0.088843	0.336678	0.179067	0.042658	0.238224
Cucumis	0.111846	0.674571	0.113972	0.065661	0.576117
Glycine	0.077571	0.429122	0.1499	0.034233	0.228371
Anadenanthera	0.062183	0.577125	0.0500703	0.018845	0.376374
Populus	0.12238	0.574882	0.178696	0.095188	0.532681
Vitis	0.049393	0.425785	0.0917201	0.039052	0.425769
Nelumbo	0.029664	0.406914	0.0728999	0.029664	0.406914
Zea	NA	NA	2.162	NA	NA
