Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.023383	1.0108	0.0335761	0.018265	0.543991
Coffea	0.032788	1.216888	0.03689	0.02767	0.750079
Beta	0.056672	1.563654	0.0424882	0.051566	1.213661
Malania	0.036974	0.568171	0.146062	0.031868	0.218178
Dendropemon	0.053513	1.136632	0.0628423	0.037645	0.599041
Daenikera	0.2007	0.941997	0.457046	0.184832	0.404406
Ombrophytum	0.056729	2.627023	0.044815	0.037979	0.847457
Lmirabile	0.046257	1.867368	0.123786	0.010867	0.087785
Lpyramidale	0.047117	1.955593	0.0666261	0.011727	0.17601
Balanophora	0.110768	2.240637	0.0577217	0.098303	1.70305
Arabidopsis	0.107457	1.511987	0.0865804	0.086777	1.002267
Citrus	0.032781	1.257425	0.0161845	0.012101	0.747705
Prunus	0.067544	0.670021	0.138975	0.047952	0.345039
Cucumis	0.048626	1.098131	0.0375523	0.029034	0.773149
Glycine	0.064851	1.023234	0.068069	0.02766	0.406349
Anadenanthera	0.050904	1.055337	0.0312753	0.013713	0.438452
Populus	0.065882	1.26722	0.059722	0.056273	0.942248
Vitis	0.037047	0.79633	0.055206	0.027441	0.497064
Nelumbo	0.017591	0.57642	0.0305178	0.017591	0.57642
Zea	NA	NA	1e-04	NA	NA
