Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.160079	0.791	0.295152	0.11186	0.378991
Coffea	0.112091	0.770252	0.178293	0.063872	0.358243
Beta	0.141995	1.021252	0.141299	0.112336	0.795025
Malania	0.055423	0.478124	0.127168	0.028008	0.220242
Dendropemon	0.102856	0.815183	0.112681	0.051346	0.455672
Daenikera	0.21934	0.572303	0.788702	0.16783	0.212792
Ombrophytum	0.146461	0.894447	0.130856	0.043	0.328603
Lmirabile	0.135887	0.810019	0.952728	0.02329	0.024446
Lpyramidale	0.120493	0.88111	0.0826439	0.007896	0.095537
Balanophora	0.217689	1.70385	0.136331	0.181496	1.33129
Arabidopsis	0.101052	1.528482	0.0590685	0.07861	1.330833
Citrus	0.115184	0.520512	0.287251	0.092742	0.322863
Prunus	0.094871	0.498083	0.281796	0.075276	0.267128
Cucumis	0.112628	1.38398	0.0806858	0.093033	1.153025
Glycine	0.117202	0.736043	0.0739218	0.032543	0.440229
Anadenanthera	0.123293	0.722327	0.0905818	0.038634	0.426513
Populus	0.109062	0.615218	0.1921	0.09657	0.502706
Vitis	0.119769	0.389456	0.275493	0.107288	0.389439
Nelumbo	0.053514	0.552473	0.0968628	0.053514	0.552473
Zea	NA	NA	1e-04	NA	NA
