Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.105037	0.678431	0.183261	0.076421	0.417005
Coffea	0.028672	0.8217	1e-04	5.6e-05	0.560274
Beta	0.067488	0.944234	0.0414798	0.038897	0.937721
Malania	0.017587	0.459843	0.0234393	0.005389	0.229925
Dendropemon	0.079898	0.664091	0.0710566	0.020503	0.288538
Daenikera	0.249991	0.661994	0.665393	0.190596	0.286441
Ombrophytum	0.097262	1.374498	0.0396686	0.014471	0.364795
Lmirabile	0.129382	1.56197	0.216695	0.040547	0.187113
Lpyramidale	0.107301	1.500245	0.147274	0.018466	0.125388
Balanophora	0.108006	2.817408	0.0378754	0.068469	1.807748
Arabidopsis	0.100577	1.113539	0.0836217	0.088204	1.054799
Citrus	0.037983	0.547901	0.0523559	0.02561	0.489161
Prunus	0.076129	1.564627	0.0359557	0.054145	1.505873
Cucumis	0.037948	0.974368	0.0174348	0.015964	0.915614
Glycine	0.038299	0.858758	0.0608136	0.022772	0.374454
Anadenanthera	0.038014	0.772181	0.0781139	0.022487	0.287877
Populus	0.015854	0.896126	0.0136707	0.011448	0.837389
Vitis	0.03782	0.246924	0.13535	0.03342	0.246915
Nelumbo	0.029279	0.930931	0.0314513	0.029279	0.930931
Zea	NA	NA	0.0490413	NA	NA
