Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.230368	4.82835	0.0256103	0.080463	3.141813
Coffea	0.239903	1.686627	999	0.089998	9e-05
Beta	0.234638	1.367569	0.137923	0.109914	0.796922
Malania	0.242103	1.085301	0.216096	0.109908	0.508608
Dendropemon	0.275992	1.18817	0.199417	0.116255	0.582974
Daenikera	0.265437	1.153456	0.192792	0.1057	0.54826
Ombrophytum	0.311963	2.00184	0.189143	0.059937	0.316885
Lmirabile	0.289042	2.12955	0.159863	0.021361	0.13362
Lpyramidale	0.285682	2.033395	0.480463	0.018001	0.037465
Balanophora	0.325313	4.830174	0.0404856	0.172203	4.253449
Arabidopsis	0.307488	68.826533	0.00232748	0.157101	67.498086
Citrus	0.178153	1.328475	999	0.027766	2.8e-05
Prunus	0.181109	1.646952	0.0880535	0.046534	0.528476
Cucumis	0.234323	1.698756	0.171896	0.099748	0.58028
Glycine	0.227097	1.912482	0.345844	0.071457	0.206615
Anadenanthera	0.269189	2.022672	0.358418	0.113549	0.316805
Populus	0.303677	1.336608	0.42995	0.171649	0.39923
Vitis	0.303654	1.050479	0.359509	0.178027	0.495195
Nelumbo	0.048434	0.011122	4.35501	0.048434	0.011122
Zea	NA	NA	1e-04	NA	NA
