Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.018123	1.030683	0.0247123	0.013729	0.55557
Coffea	0.023243	0.90521	0.0438245	0.018849	0.430097
Beta	0.179403	1.981673	0.0953931	0.179393	1.880568
Malania	0.018192	0.516868	0.0559726	0.018173	0.324668
Dendropemon	0.106422	0.744012	0.162015	0.089399	0.551795
Daenikera	0.111718	0.842139	0.145702	0.094695	0.649922
Ombrophytum	0.046396	1.015685	0.156574	0.032394	0.206893
Lmirabile	0.069505	1.006938	0.159356	0.013959	0.087599
Lpyramidale	0.059984	1.003099	0.0529833	0.004438	0.08376
Balanophora	0.075385	25.829969	0.00239668	0.061445	25.63775
Arabidopsis	0.068023	1.277078	0.0270199	0.027233	1.007895
Citrus	0.104623	0.520807	0.253684	0.063833	0.251624
Prunus	0.050665	0.656581	0.0925168	0.017695	0.191266
Cucumis	0.050276	1.3724	0.0190782	0.017306	0.907085
Glycine	0.049096	0.604468	0.0584523	0.017908	0.306361
Anadenanthera	0.044762	0.661078	0.0373965	0.013574	0.362971
Populus	0.041297	1.305936	0.0132168	0.014046	1.062728
Vitis	0.00452999999999999	0.614373	0.00880575	0.00452	0.513273
Nelumbo	4.89999999999935e-05	0.487356	1e-04	4.9e-05	0.487356
Zea	NA	NA	999	NA	NA
