Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.096956	1.03320699999999	0.0755062	0.044498	0.589334
Coffea	0.09854	0.930371999999991	0.0947206	0.046082	0.486499
Beta	0.165049	3.042929	0.0419787	0.121853	2.902728
Malania	0.086427	0.247365000000002	0.358984	0.041358	0.115207
Dendropemon	0.25759	0.555289999999999	0.491248	0.169957	0.34597
Daenikera	0.171437	0.426702000000006	0.385516	0.083804	0.217382
Ombrophytum	0.155517	2.11263700000001	0.102667	0.065267	0.635713
Lmirabile	0.126443	1.66491700000002	0.078796	0.014071	0.178577
Lpyramidale	0.128331	1.51345000000001	0.588683	0.015959	0.02711
Balanophora	0.228087	26.504875	0.00626531	0.156815	25.02905
Arabidopsis	0.182596	2.419614	0.0437289	0.095049	2.173605
Citrus	0.176568	0.653977999999995	0.218205	0.089021	0.407969
Prunus	0.100129	0.872873000000013	0.0665912	0.031749	0.476769
Cucumis	0.12811	0.976327000000012	0.102943	0.05973	0.580223
Glycine	0.161814	1.581925	0.0783916	0.037659	0.480391
Anadenanthera	0.161457	1.45541	0.10541	0.037302	0.353876
Populus	0.129992	0.706912000000003	0.147217	0.068076	0.462422
Vitis	0.130617	4.674305	0.0182696	0.085367	4.672618
Nelumbo	0.00524200000000002	1.12470999999999	0.00466083	0.005242	1.12471
Zea	NA	NA	1e-04	NA	NA
