Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.037913	0.583535999999995	0.0887899	0.023351	0.262997
Coffea	0.098987	1.010537	0.122356	0.084425	0.689998
Beta	0.097983	1.442475	0.057855	0.083453	1.442448
Malania	0.060567	0.69531400000001	0.0772817	0.028836	0.373125
Dendropemon	0.107343	1.00282200000001	0.125533	0.062648	0.499055
Daenikera	0.160228	0.812078000000014	0.374728	0.115533	0.308311
Ombrophytum	0.225334	1.40924699999999	1.03026	0.059361	0.057617
Lmirabile	0.189242	1.71363199999999	0.0522074	0.006467	0.123877
Lpyramidale	0.197564	1.77189799999999	0.0811968	0.014789	0.182143
Balanophora	0.158192	3.00394800000001	0.04479	0.111983	2.500185
Arabidopsis	0.10461	1.888503	0.0144535	0.02564	1.773995
Citrus	0.092891	0.311752999999996	0.0705794	0.013921	0.197245
Prunus	0.092804	0.269472999999991	0.126282	0.029514	0.233713
Cucumis	0.080888	0.709877999999989	0.0261058	0.017598	0.674118
Glycine	0.121981	1.97207499999999	0.0323073	0.039274	1.215633
Anadenanthera	0.141767	0.826953999999986	0.837585	0.05906	0.070512
Populus	0.107465	0.302749000000006	0.19182	0.051216	0.267002
Vitis	0.031397	0.357203999999996	0.042969	0.013814	0.321496
Nelumbo	0.043223	0.740441000000004	0.0583753	0.043223	0.740441
Zea	NA	NA	0.00312875	NA	NA
