Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.083592	1.402514	0.0888826	0.063233	0.711417
Coffea	0.057252	1.243545	0.0667804	0.036893	0.552448
Beta	0.153264	3.17408	0.0551336	0.140311	2.544922
Malania	0.040915	1.070247	0.0845414	0.021495	0.254254
Dendropemon	0.123978	1.340688	0.200464	0.073518	0.366739
Daenikera	0.175084	1.270297	0.420532	0.124624	0.296348
Ombrophytum	0.138152	2.193889	0.228569	0.078586	0.343817
Lmirabile	0.118162	2.147227	0.0502284	0.011506	0.229075
Lpyramidale	0.132745	2.053487	0.192771	0.026089	0.135335
Balanophora	0.223685	6.543381	0.0331548	0.187089	5.642889
Arabidopsis	0.095561	2.220528	0.0385283	0.05328	1.382875
Citrus	0.069625	1.077872	0.11383	0.027344	0.240219
Prunus	0.086762	1.16137	0.162801	0.053267	0.327192
Cucumis	0.107883	1.424315	0.126053	0.074388	0.590137
Glycine	0.063524	1.484993	0.0714695	0.030006	0.419846
Anadenanthera	0.050003	1.360773	0.0557634	0.016485	0.295626
Populus	0.094421	1.104156	0.221619	0.070051	0.316089
Vitis	0.077187	0.911332	0.241112	0.057851	0.239936
Nelumbo	0.031012	0.375874	0.0825066	0.031012	0.375874
Zea	NA	NA	999	NA	NA
