Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.072139	0.950069	0.0540186	0.028986	0.53659
Coffea	0.083399	1.076893	0.0606658	0.040246	0.663414
Beta	0.120799	1.089098	0.0805957	0.086558	1.073975
Malania	0.057765	0.42506	0.0878635	0.021618	0.246043
Dendropemon	0.207977	0.651892	0.339972	0.121315	0.356837
Daenikera	0.260048	0.729913	0.398718	0.173386	0.434858
Ombrophytum	0.109674	1.338766	0.0830987	0.030592	0.368136
Lmirabile	0.113216	1.292599	0.0956554	0.014765	0.154358
Lpyramidale	0.160026	1.385284	0.24925	0.061575	0.247043
Balanophora	0.179333	1.969542	0.081009	0.127875	1.578527
Arabidopsis	0.140504	2.131779	0.0501237	0.09889	1.97291
Citrus	0.05713	0.58497	0.0364133	0.015516	0.426101
Prunus	0.05649	0.472268	0.0674306	0.01983	0.294077
Cucumis	0.076677	1.145252	0.0413802	0.040017	0.967061
Glycine	0.11409	1.488978	0.0740832	0.065723	0.887147
Anadenanthera	0.073775	1.139893	0.0472218	0.025408	0.538062
Populus	0.103252	0.64397	0.153761	0.071622	0.465799
Vitis	0.053923	0.407608	0.0739221	0.026871	0.363498
Nelumbo	0.014717	0.68719	0.0214165	0.014717	0.68719
Zea	NA	NA	0.0361016	NA	NA
