Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.109573	1.330146	0.0866954	0.064603	0.745171
Coffea	0.152567	1.08266	0.216195	0.107597	0.497685
Beta	0.124041	1.289597	0.0927514	0.102474	1.104825
Malania	0.073652	0.492326	0.190381	0.048799	0.256321
Dendropemon	0.132002	0.779268	0.211215	0.090134	0.426742
Daenikera	0.119177	0.51138	0.486667	0.077309	0.158854
Ombrophytum	0.139582	1.652805	0.097214	0.044088	0.453518
Lmirabile	0.136172	1.406428	0.15861	0.019411	0.122384
Lpyramidale	0.12956	1.385309	0.126395	0.012799	0.101265
Balanophora	0.157136	1.882905	0.0685003	0.112812	1.64688
Arabidopsis	0.181589	1.501708	0.117786	0.126748	1.076083
Citrus	0.113002	0.827833	0.144604	0.058161	0.402208
Prunus	0.113992	0.80334	0.114919	0.05339	0.464585
Cucumis	0.11246	1.019793	0.0761453	0.051858	0.681038
Glycine	0.132857	0.975887	0.158006	0.04898	0.309989
Anadenanthera	0.122388	0.992155	0.118038	0.038511	0.326257
Populus	0.119526	0.959181	0.131574	0.082543	0.627352
Vitis	0.06624	0.493057	0.166825	0.052745	0.31617
Nelumbo	0.049973	0.48341	0.103376	0.049973	0.48341
Zea	NA	NA	1e-04	NA	NA
