Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.22141	5.03941	0.129173	0.065614	0.507955
Coffea	0.200784	5.045566	0.0875066	0.044988	0.514111
Beta	0.271126	5.037738	0.135486	0.158563	1.170325
Malania	0.191763	4.583398	0.135665	0.048221	0.355441
Dendropemon	0.329964	13.03749	0.0184988	0.154905	8.373806
Daenikera	0.243506	5.284305	0.110288	0.068447	0.620621
Ombrophytum	0.25099	6.538604	0.190494	0.043613	0.228946
Lmirabile	0.225861	6.884885	0.0754232	0.01229	0.162947
Lpyramidale	0.228167	6.754136	0.453305	0.014596	0.032198
Balanophora	0.266021	7.003868	0.0476081	0.102696	2.157102
Arabidopsis	0.320275	6.513325	0.0699894	0.170622	2.437832
Citrus	0.200084	5.538148	0.0344791	0.050431	1.462655
Prunus	0.237934	6.122568	0.0417717	0.071924	1.721838
Cucumis	0.250506	5.960131	0.0541847	0.084496	1.559401
Glycine	0.264839	9.111583	0.0188904	0.073329	3.881811
Anadenanthera	0.22989	5.229821	776.938	0.03838	4.9e-05
Populus	0.225907	5.787925	0.0498229	0.085314	1.712347
Vitis	0.181268	4.950753	0.076603	0.082988	1.083352
Nelumbo	0.021306	2.09999999999932e-05	999	0.021306	2.1e-05
Zea	NA	NA	999	NA	NA
