Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.044785	0.986743	0.0837258	0.030757	0.367352
Coffea	0.071059	1.139354	0.109683	0.057031	0.519963
Beta	0.047936	1.006942	0.0570526	0.03874	0.679031
Malania	0.048505	0.589394	0.122296	0.033478	0.273747
Dendropemon	0.097179	0.754916	0.137838	0.052244	0.379028
Daenikera	0.215947	0.691003	0.542695	0.171012	0.315115
Ombrophytum	0.09715	1.153868	0.154708	0.026172	0.169173
Lmirabile	0.109159	1.217739	0.119145	0.012755	0.107052
Lpyramidale	0.135904	1.180368	0.56686	0.0395	0.069681
Balanophora	0.194438	2.495811	0.0730058	0.143471	1.965194
Arabidopsis	0.09878	1.738343	0.053546	0.072085	1.34622
Citrus	0.08478	0.812383	0.138213	0.058085	0.42026
Prunus	0.050276	0.925055	0.0562299	0.029966	0.532921
Cucumis	0.090181	1.040021	0.107844	0.069871	0.647887
Glycine	0.063632	1.131493	0.101753	0.032643	0.320809
Anadenanthera	0.051166	1.105277	0.0684907	0.020177	0.294593
Populus	0.044852	0.793112	0.0667472	0.026765	0.400993
Vitis	0.02985	0.670075	0.0542233	0.018221	0.336033
Nelumbo	0.021149	0.10936	0.193393	0.021149	0.10936
Zea	NA	NA	1e-04	NA	NA
