Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.033985	1.358425	0.0118492	0.014127	1.192209
Coffea	0.030712	1.016997	0.0127581	0.010854	0.850781
Beta	0.036239	1.255871	0.0234076	0.025507	1.089699
Malania	0.027157	0.44955	0.0547624	0.018362	0.335299
Dendropemon	0.046279	0.702764	0.102062	0.030522	0.299052
Daenikera	0.091682	0.811846	0.186029	0.075925	0.408134
Ombrophytum	0.052643	1.857043	0.0745438	0.029279	0.39278
Lmirabile	0.049089	1.951763	0.0566728	0.011303	0.199447
Lpyramidale	0.04978	1.83955	0.137489	0.011994	0.087234
Balanophora	0.115629	3.432314	0.0278483	0.0924	3.317959
Arabidopsis	0.069887	3.248763	0.0126058	0.038482	3.052756
Citrus	0.035133	0.312353	0.032042	0.003728	0.116346
Prunus	0.08062	0.729344	0.069719	0.014782	0.212017
Cucumis	0.083495	1.722171	0.014655	0.017657	1.204844
Glycine	0.066554	1.210405	0.00842214	0.003686	0.437623
Anadenanthera	0.066604	1.087259	0.0118805	0.003736	0.314477
Populus	0.038938	0.677807	0.0172941	0.007529	0.435352
Vitis	0.047398	0.939692	0.0391565	0.034885	0.890914
Nelumbo	0.006059	0.722622	0.00838524	0.006059	0.722622
Zea	NA	NA	1e-04	NA	NA
