Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.114678	1.118584	0.0822125	0.060403	0.734718
Coffea	0.111812	1.030213	0.0890184	0.057537	0.646347
Beta	0.114654	1.097402	0.0831856	0.071108	0.854807
Malania	0.074086	0.737911	0.0998459	0.025522	0.255618
Dendropemon	0.09799	0.753175	0.154561	0.038537	0.24933
Daenikera	0.22033	0.795053	0.552445	0.160877	0.291208
Ombrophytum	0.135168	1.64712	0.128004	0.036423	0.284546
Lmirabile	0.13107	1.814549	0.0690218	0.01434	0.207763
Lpyramidale	0.134817	1.662788	0.322964	0.018087	0.056002
Balanophora	0.174253	1.880191	0.086506	0.10645	1.230556
Arabidopsis	0.15364	2.096596	0.0620368	0.102476	1.651864
Citrus	0.086588	0.78504	0.104095	0.035424	0.340308
Prunus	0.081583	0.702513	0.125885	0.048769	0.387407
Cucumis	0.105226	0.883511	0.127394	0.072412	0.568405
Glycine	0.079551	0.94263	0.12144	0.031048	0.255663
Anadenanthera	0.084117	1.070974	0.0927427	0.035614	0.384007
Populus	0.093317	0.73844	0.142917	0.060503	0.423344
Vitis	0.063007	0.579853	0.11412	0.047748	0.418398
Nelumbo	0.074717	0.333842	0.223809	0.074717	0.333842
Zea	NA	NA	1e-04	NA	NA
