Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.048129	0.844981	0.0571215	0.026477	0.463514
Coffea	0.04434	0.798987	0.0543399	0.022688	0.41752
Beta	0.058175	1.925328	0.0225002	0.039833	1.770334
Malania	0.028098	0.276668	0.178006	0.021225	0.119239
Dendropemon	0.061645	0.452459	0.237302	0.042193	0.177802
Daenikera	0.148085	0.482524	0.618826	0.128633	0.207867
Ombrophytum	0.079406	1.376739	0.181694	0.046329	0.254982
Lmirabile	0.051702	1.532217	0.0437029	0.008954	0.204881
Lpyramidale	0.051463	1.364499	0.234514	0.008715	0.037163
Balanophora	0.083872	1.495705	0.0497139	0.062574	1.258685
Arabidopsis	0.063562	1.27557	0.0506049	0.061794	1.2211
Citrus	0.038993	0.374213	0.116422	0.037225	0.319743
Prunus	0.032179	0.365536	0.0910948	0.028335	0.311052
Cucumis	0.024215	0.932296	0.0232071	0.020371	0.877812
Glycine	0.007938	0.858191	0.0111551	0.003967	0.3556
Anadenanthera	0.024187	0.807149	0.0663787	0.020216	0.304558
Populus	0.020068	0.493984	0.0456452	0.020062	0.43951
Vitis	0.028274	0.248157	0.116652	0.028273	0.242368
Nelumbo	0.015948	0.529324	0.0301289	0.015948	0.529324
Zea	NA	NA	0.0482341	NA	NA
