Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.137439	1.415026	0.110031	0.064258	0.584003
Coffea	0.17402	1.673124	0.119747	0.100839	0.842101
Beta	0.200259	1.744319	0.140343	0.139522	0.994149
Malania	0.132464	1.173564	0.21285	0.050788	0.238609
Dendropemon	0.246023	1.376185	0.356104	0.156134	0.43845
Daenikera	0.209597	1.355484	0.286556	0.119708	0.417749
Ombrophytum	0.228991	2.628361	0.334276	0.038809	0.116099
Lmirabile	0.272261	3.330819	0.139924	0.026849	0.191884
Lpyramidale	0.272276	3.253205	0.235092	0.026864	0.11427
Balanophora	0.257622	72.19883	0.00233475	0.162701	69.686887
Arabidopsis	0.336717	3.319168	0.117717	0.284556	2.417282
Citrus	0.180797	1.418284	0.249103	0.128636	0.516398
Prunus	0.129723	1.433272	0.156273	0.069929	0.447479
Cucumis	0.169097	2.780505	0.0609029	0.109303	1.794712
Glycine	0.201531	1.927477	0.27284	0.105381	0.386238
Anadenanthera	0.199998	1.692804	0.685168	0.103848	0.151565
Populus	0.182556	1.334883	0.301153	0.130397	0.432992
Vitis	0.077589	1.069302	0.131676	0.04082	0.310006
Nelumbo	0.033538	7.70000000001048e-05	435.127	0.033538	7.7e-05
Zea	NA	NA	1e-04	NA	NA
