Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.122663	1.316369	0.0715535	0.078415	1.095892
Coffea	0.117188	0.668552	0.162785	0.07294	0.448075
Beta	0.110968	0.824152	0.109622	0.087278	0.796176
Malania	0.110215	0.48959	0.303079	0.077904	0.257042
Dendropemon	0.186733	0.735154	0.258088	0.095298	0.369245
Daenikera	0.266443	0.843423	0.366498	0.175008	0.477514
Ombrophytum	0.117816	1.106996	0.131317	0.054161	0.412445
Lmirabile	0.091934	0.984074	0.107454	0.018027	0.167767
Lpyramidale	0.086389	0.82577	1.31897	0.012482	0.009463
Balanophora	0.296403	1.842421	0.164928	0.251271	1.523522
Arabidopsis	0.117053	0.673797	0.139381	0.078871	0.565869
Citrus	0.095888	0.740857	0.0911736	0.057706	0.632929
Prunus	0.088916	0.684541	0.0849387	0.041103	0.483916
Cucumis	0.13047	0.747832	0.151053	0.082657	0.547207
Glycine	0.121455	0.965994	0.154058	0.057048	0.370304
Anadenanthera	0.14073	0.777038	0.420866	0.076323	0.181348
Populus	0.083553	0.751588	0.0630402	0.035742	0.566967
Vitis	0.070674	0.489455	0.11525	0.056408	0.489441
Nelumbo	0.029525	0.605854	0.0487324	0.029525	0.605854
Zea	NA	NA	0.194273	NA	NA
