Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.131053	1.149908	0.0742856	0.048144	0.648089
Coffea	0.138726	0.904044	0.138771	0.055817	0.402225
Beta	0.181613	78.424399	0.00158923	0.123906	77.966445
Malania	0.077786	0.221148	0.163773	0.036209	0.221089
Dendropemon	0.181416	0.687726	0.201725	0.126949	0.629319
Daenikera	0.241914	0.606231	0.342167	0.187447	0.547824
Ombrophytum	0.19859	79.450655	0.11112	0.054471	0.490199
Lmirabile	0.221532	79.157541	0.0203557	0.00401	0.197012
Lpyramidale	0.414008	79.006204	4.30184	0.196486	0.045675
Balanophora	0.316132	1.892913	0.220013	0.241851	1.099256
Arabidopsis	0.165732	1.127298	0.148307	0.115637	0.779713
Citrus	0.108194	0.795611	0.129677	0.058099	0.448026
Prunus	0.076387	0.602664	0.180927	0.034183	0.188933
Cucumis	0.088571	1.164082	0.0617937	0.046367	0.750351
Glycine	0.144017	1.265556	0.182929	0.088638	0.484546
Anadenanthera	0.112289	1.290107	0.111786	0.05691	0.509097
Populus	0.112981	1.568852	0.0579847	0.070784	1.220732
Vitis	0.104415	1.160177	0.0783978	0.07751	0.98868
Nelumbo	0.022775	0.529086	0.043046	0.022775	0.529086
Zea	NA	NA	1e-04	NA	NA
