Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.108566	1.204124	0.0819765	0.052464	0.639994
Coffea	0.099388	1.124739	0.0772128	0.043286	0.560609
Beta	0.116546	0.946921	0.126714	0.074509	0.588008
Malania	0.096079	0.566515	0.188252	0.03661	0.194475
Dendropemon	0.150139	0.779146	0.234799	0.075348	0.320903
Daenikera	0.194823	0.874917	0.288071	0.120032	0.416674
Ombrophytum	0.108352	1.496229	0.0548115	0.018677	0.340746
Lmirabile	0.127959	1.601826	0.136692	0.012713	0.093006
Lpyramidale	0.117946	1.704343	0.0138079	0.0027	0.195523
Balanophora	0.133757	3.588986	0.0227496	0.068399	3.006627
Arabidopsis	0.144411	1.322254	0.103609	0.11057	1.067184
Citrus	0.081125	0.664432	0.115507	0.047284	0.409362
Prunus	0.108594	0.50095	0.309412	0.047929	0.154904
Cucumis	0.108234	1.176138	0.0573062	0.047569	0.830092
Glycine	0.10713	0.999552	0.109528	0.042276	0.385978
Anadenanthera	0.100691	1.093792	0.0746273	0.035837	0.480218
Populus	0.098554	0.938608	0.0982988	0.063281	0.643763
Vitis	0.064699	0.47258	0.111178	0.030864	0.277611
Nelumbo	0.043186	0.403693	0.106977	0.043186	0.403693
Zea	NA	NA	0.179592	NA	NA
