Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.049213	1.151312	0.0459488	0.028873	0.628363
Coffea	0.047098	1.006303	0.0553599	0.026758	0.483354
Beta	0.089925	1.40072	0.0786425	0.075859	0.964603
Malania	0.055305	0.584912	0.107578	0.030785	0.286169
Dendropemon	0.096723	0.818573	0.158773	0.059566	0.375164
Daenikera	0.176002	0.746849	0.457571	0.138845	0.30344
Ombrophytum	0.098243	1.414916	0.0760432	0.024292	0.319445
Lmirabile	0.103919	1.420585	0.184276	0.017234	0.093525
Lpyramidale	0.105368	1.429553	0.182285	0.018683	0.102493
Balanophora	0.118578	2.010756	0.0642352	0.073262	1.14053
Arabidopsis	0.077308	1.833557	0.0407404	0.051848	1.272638
Citrus	0.060149	0.944636	0.0904017	0.034689	0.383717
Prunus	0.08482	0.831086	0.199618	0.061669	0.308936
Cucumis	0.061418	1.226123	0.0543587	0.038267	0.703973
Glycine	0.059748	1.073924	0.113596	0.03489	0.30714
Anadenanthera	0.041416	1.05731	0.0569915	0.016558	0.290526
Populus	0.046819	0.914739	0.0586005	0.02594	0.44265
Vitis	0.033327	0.714145	0.0528715	0.016681	0.315497
Nelumbo	0.023304	0.206015	0.113116	0.023304	0.206015
Zea	NA	NA	0.0634609	NA	NA
