Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.135037	1.695847	0.067247	0.072869	1.083596
Coffea	0.114144	1.569293	0.0543087	0.051976	0.957042
Beta	0.151176	1.989644	0.0802712	0.118757	1.479444
Malania	0.094624	0.857179	0.153687	0.056385	0.366881
Dendropemon	0.256176	1.255048	0.278885	0.158923	0.569852
Daenikera	0.325798	1.069901	0.59408	0.228545	0.384705
Ombrophytum	0.193719	2.891576	0.116304	0.065381	0.562151
Lmirabile	0.163626	2.571353	0.149165	0.015421	0.103381
Lpyramidale	0.176371	2.624793	0.179608	0.028166	0.156821
Balanophora	0.219498	2.989388	0.076868	0.15535	2.021005
Arabidopsis	0.186326	3.76478	0.0379989	0.123745	3.256527
Citrus	0.101133	1.19838	0.0558624	0.038552	0.690127
Prunus	0.10414	1.003549	0.123473	0.037751	0.305746
Cucumis	0.12161	1.951779	0.0440369	0.055221	1.253976
Glycine	0.129136	1.84397	0.049436	0.044868	0.907596
Anadenanthera	0.130036	1.214072	0.16481	0.045768	0.277698
Populus	0.144005	1.02375	0.182287	0.093971	0.515512
Vitis	0.063918	0.870081	0.0857771	0.039254	0.457626
Nelumbo	0.036208	0.820296	0.0441402	0.036208	0.820296
Zea	NA	NA	0.0173262	NA	NA
