Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.13855	1.702437	0.13554	0.095446	0.704188
Coffea	0.130557	1.673488	0.129514	0.087453	0.675239
Beta	0.167268	3.206083	0.0644884	0.142381	2.207852
Malania	0.090703	0.462133	0.187072	0.064481	0.344687
Dendropemon	0.114319	0.380522	0.33487	0.088095	0.263071
Daenikera	0.173115	0.683194	0.259643	0.146891	0.565743
Ombrophytum	0.174696	2.626755	0.202677	0.078915	0.389366
Lmirabile	0.13659	2.674391	0.0419048	0.008717	0.208008
Lpyramidale	0.155016	2.587995	0.223196	0.027143	0.121612
Balanophora	0.240582	3.19299	0.0715471	0.188303	2.631875
Arabidopsis	0.139526	1.732013	0.0634517	0.06855	1.080355
Citrus	0.149294	1.251949	0.130467	0.078318	0.600291
Prunus	0.135174	0.454474	0.241585	0.076658	0.317312
Cucumis	0.126637	0.788308	0.104618	0.068121	0.651146
Glycine	0.138182	0.764103	0.105548	0.070167	0.664793
Anadenanthera	0.123963	1.081243	0.0569778	0.055948	0.981933
Populus	0.157908	2.892765	0.0405021	0.117161	2.892719
Vitis	0.058406	0.654835	0.0524792	0.034364	0.654811
Nelumbo	0.038815	0.830994	0.0467089	0.038815	0.830994
Zea	NA	NA	0.115534	NA	NA
