Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	19048	2569	9933
mitochondrial-Ath-AsnGTT-183766	275	40	162
mitochondrial-Ath-AspGTC-171828	423	139	337
mitochondrial-Ath-CysGCA-171829	1049	262	255
mitochondrial-Ath-GlnTTG-171830	99	12	35
mitochondrial-Ath-GluTTC-171831	173	85	135
mitochondrial-Ath-GlyGCC-171832	546	111	180
mitochondrial-Ath-HisGTG-171833	362	57	92
mitochondrial-Ath-IleCAT-171837	14	2	4
mitochondrial-Ath-LysTTT-171834	27	6	51
mitochondrial-Ath-ProTGG-171838	280	74	90
mitochondrial-Ath-SerGCT-171840	475	126	294
mitochondrial-Ath-SerGGA-171839	109	32	62
mitochondrial-Ath-SerTGA-171841	217	46	82
mitochondrial-Ath-TrpCCA-171842	982	278	313
mitochondrial-Ath-TyrGTA-171843	4	0	1
mitochondrial-Ath-TyrGTA-171844	72	25	130
mitochondrial-Ath-eMetCAT-171836	7	0	0
mitochondrial-Ath-iMetCAT-171835	26	17	9
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	2	1	0
mitochondrial-Ath-stemloop-309033	6	3	12
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	17	8	3
mitochondrial-Ath-stemloop-358842	0	0	1
mitochondrial-Ath-stemloop-36709	3	0	1
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	29	13	16
mitochondrial-Ath-stemloop-c1924	3	1	14
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	5	1	4
mitochondrial-Ath-stemloop-c83962	0	0	0
mitochondrial-Bla-iMetCAT-99991	0	0	0
mitochondrial-Lpy-GluTTC-LpChr7B	151	73	112
mitochondrial-Lpy-IleCAT-LpChr36	0	0	0
mitochondrial-Lpy-LysTTT-LpChr1C2	28	13	43
mitochondrial-Lpy-TrpCCA-LpChr43_cplike	1	0	1
mitochondrial-Lpy-eMetCAT-LpChr43_cplike	10	0	1
